Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend,ave,upper,lower
2018-11-07,SONATSOFTW,EQ,320.4,323.2,331.4,323.0,330.7,329.75,329.02,113478,37336713.95,2706,65709,57.9,11,2018,280.7406898008848,0.029182272159800293,Slight or No change,299.396,337.759,261.034
2018-11-09,SONATSOFTW,EQ,329.75,333.0,338.85,330.1,337.5,335.0,334.55,102302,34225256.15,4191,41076,40.15,11,2018,280.7841514786412,0.015921152388172818,Slight or No change,300.739,342.776,258.703
2018-11-12,SONATSOFTW,EQ,335.0,337.0,343.8,328.25,338.15,338.1,339.71,106782,36274478.8,3887,47432,44.42,11,2018,280.8320318952073,0.009253731343283668,Slight or No change,303.0,349.524,256.476
2018-11-13,SONATSOFTW,EQ,338.1,333.75,337.5,329.1,334.8,335.05,334.19,73495,24561570.25,2852,34290,46.66,11,2018,280.8631875255149,-0.009020999704229538,Slight or No change,306.254,355.027,257.48
2018-11-14,SONATSOFTW,EQ,335.05,335.05,340.85,334.5,335.0,335.25,335.2,131563,44100139.1,2494,102792,78.13,11,2018,280.9190752432755,0.0005969258319653559,Slight or No change,310.536,358.115,262.956
2018-11-15,SONATSOFTW,EQ,335.25,331.2,342.0,329.1,334.9,335.15,336.49,146141,49175225.75,13796,46330,31.7,11,2018,280.9809071498695,-0.0002982848620433076,Slight or No change,315.214,358.128,272.301
2018-11-16,SONATSOFTW,EQ,335.15,331.45,344.0,329.0,329.35,331.45,335.75,100721,33817250.1,3992,30276,30.06,11,2018,281.0205347657916,-0.011039832910637036,Slight or No change,319.271,355.952,282.591
2018-11-19,SONATSOFTW,EQ,331.45,332.3,334.65,322.2,322.55,324.65,325.76,84187,27424851.05,4120,40798,48.46,11,2018,281.049149677508,-0.020515914919294054,Slight or No change,322.264,352.354,292.175
2018-11-20,SONATSOFTW,EQ,324.65,324.65,325.0,315.0,318.85,318.85,320.87,60459,19399326.0,5651,30787,50.92,11,2018,281.06694580496656,-0.017865393500692942,Slight or No change,324.575,346.765,302.385
2018-11-21,SONATSOFTW,EQ,318.85,318.85,322.15,303.15,307.8,308.65,308.57,102701,31690572.3,3823,42306,41.19,11,2018,281.08898688283017,-0.031989963932883884,Slight or No change,324.582,346.75,302.414
2018-11-22,SONATSOFTW,EQ,308.65,309.0,319.5,309.0,315.05,315.3,315.95,108258,34204602.45,3004,41496,38.33,11,2018,281.1177791642714,0.021545439818564827,Slight or No change,324.907,346.322,303.492
2018-11-26,SONATSOFTW,EQ,315.3,316.0,322.0,309.2,317.75,317.8,315.48,272623,86006246.35,6699,165258,60.62,11,2018,281.1953589879887,0.007928956549318134,Slight or No change,325.564,345.324,305.804
2018-11-27,SONATSOFTW,EQ,317.8,318.0,320.0,309.65,311.4,310.85,312.89,70194,21962777.5,4878,37322,53.17,11,2018,281.21149837033624,-0.021869100062932637,Slight or No change,325.446,345.559,305.334
2018-11-28,SONATSOFTW,EQ,310.85,313.35,314.7,304.2,304.4,306.75,310.61,61535,19113616.85,3161,30606,49.74,11,2018,281.22367717627156,-0.013189641306096234,Slight or No change,324.471,346.835,302.108
2018-11-29,SONATSOFTW,EQ,306.75,309.45,318.0,304.0,305.35,305.95,313.05,454250,142203291.5,6868,311561,68.59,11,2018,281.310416372357,-0.0026079869600652557,Slight or No change,322.771,346.951,298.592
2018-11-30,SONATSOFTW,EQ,305.95,308.4,312.0,305.45,306.45,306.4,308.47,68789,21219482.2,2879,39205,56.99,11,2018,281.3237375532032,0.0014708285667592855,Slight or No change,320.729,345.288,296.17
2018-12-03,SONATSOFTW,EQ,306.4,306.5,309.75,300.95,301.0,301.5,303.32,92885,28173702.9,5086,54525,58.7,12,2018,281.3381921283554,-0.015992167101827603,Slight or No change,318.114,342.499,293.73
